clusx clusy plot tree stem spec.1 spec.2 spec.3 spec.4 dbh health.id origi.1 stumpd totalh boleh
218 203 2 1 1 CRO Croton-sp. XXX XXX 2 1 N 3 4 -1
218 203 2 2 1 CRO Croton-sp. XXX XXX 2.5 1 N -1 -1 -1
218 203 2 3 1 CRO Croton-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 2 3 2 CRO Croton-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 2 4 1 CRO Croton-sp. XXX XXX 2 1 N -1 -1 -1
218 203 2 4 2 CRO Croton-sp. XXX XXX 2 1 N 2 5 -1
218 203 2 5 1 PTL Pteleopsis-sp. XXX XXX 2 1 N -1 -1 -1
218 203 2 6 1 PTL Pteleopsis-sp. XXX XXX 2 1 N -1 -1 -1
218 203 2 6 2 PTL Pteleopsis-sp. XXX XXX 3 1 N -1 -1 -1
218 203 2 7 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 3.5 1 N -1 -1 -1
218 203 2 8 1 DEI-BOR Deinbollia-borbonica XXX XXX 2 1 N 2.5 3 -1
218 203 2 9 1 DEI-BOR Deinbollia-borbonica XXX XXX 2 1 N -1 -1 -1
218 203 2 10 1 XLT-TET Xylotheca-tettensis XXX XXX 1.5 1 N -1 -1 -1
218 203 2 11 1 XLT-TET Xylotheca-tettensis XXX XXX 1.5 1 N -1 -1 -1
218 203 2 12 1 XLT-TET Xylotheca-tettensis XXX XXX 2.5 1 N -1 -1 -1
218 203 3 1 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 5 1 N -1 -1 -1
218 203 3 2 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 6 1 N -1 -1 -1
218 203 3 3 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 7 1 N 9.5 6.5 -1
218 203 3 4 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 8 1 N -1 -1 -1
218 203 3 5 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 5 1 N -1 -1 -1
218 203 3 6 1 PTL-MYR Pteleopsis-myrtifolia XXX XXX 5.5 1 N -1 -1 -1
218 203 3 7 1 PTL Pteleopsis-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 3 8 1 PTL Pteleopsis-sp. XXX XXX 1.5 1 N 2 3 -1
218 203 3 9 1 PTL Pteleopsis-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 3 10 1 PTL Pteleopsis-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 3 11 1 PTL Pteleopsis-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 3 12 1 BRI-SCL Bridelia-scleroneura XXX XXX 1 1 N 2 4 -1
218 203 3 13 1 BRI-SCL Bridelia-scleroneura XXX XXX 1 1 N -1 -1 -1
218 203 3 14 1 PTL Pteleopsis-sp. XXX XXX 1.5 1 N -1 -1 -1
218 203 3 15 1 PTL Pteleopsis-sp. XXX XXX 2 1 N -1 -1 -1
218 203 3 16 1 PTL Pteleopsis-sp. XXX XXX 2.5 1 N -1 -1 -1
218 203 3 17 1 SCN-VIR Securinega-virosa XXX XXX 4 1 N 4 4 -1
